sn1;sn2;nbcar;unemp;ageyngst;hhtype;sn3;sn4;dyear;ddayofwk;working_day;dml1_0;dml1_1;dml1_2;dml1_3;dml1_4;dml1_5;dml1_6;dml1_7;dml1_8;dml1_9a;dml1_9b;dml2_01;a_alone;a_wch9;a_wothh;a_wothp;a_asleep;a_noans;a_totwth;dage;dsex;dethnic;pop_den;numadult;numchild;child;num0_2;num3_4;num5_9;econact;hrs_unpd;hrs_job1;hrs_job2;hrs_tot;nssecb;nssecb_8;nssecb_5;nssecb_3;wtdry_ug;car;health;hiqual4;region;hnumb;selfemp;public;cadre;parttime;shiftwork;flexitime;nethinc;indlabinc
11;730;2;3,1;6;8;2;2;2000;3;0;390;500;0;50;0;400;0;0;0;100;0;130;40;0;190;480;630;100;1440;52;2;0;122,95;2;0;0;0;0;0;1;;36;;36;12,2;6;5;3;1,548531389;1;1;12;8;2;0;0;0;0;0;0;226,2108154;0
12;59;2;4,6;1;2;1;1;2000;3;0;590;470;0;140;20;0;0;0;90;130;0;520;40;220;190;10;990;80;1530;35;2;0;298,21;2;2;1;1;0;1;1;;9;;9;4,1;2;1;1;1,247645963;1;1;2;8;4;0;1;0;1;0;0;600,1174316;92,84064484
12;59;2;4,6;1;2;2;1;2000;3;0;570;480;0;60;0;70;0;0;160;100;0;510;20;160;340;60;990;30;1600;35;1;0;298,21;2;2;1;1;0;1;1;;55;;55;5;2;1;1;1,332285912;1;1;5;8;4;0;0;1;0;0;0;600,1174316;486,3283386
12;59;2;4,6;1;2;2;2;2000;6;0;490;320;0;160;0;210;70;0;30;160;0;240;20;300;260;490;560;0;1630;35;1;0;298,21;2;2;1;1;0;1;1;;55;;55;5;2;1;1;0,547694679;1;1;5;8;4;0;0;1;0;0;0;600,1174316;486,3283386
12;82;1;4,6;4;2;1;1;2000;6;1;780;0;0;510;0;20;0;0;50;80;0;630;0;0;810;0;630;0;2160;55;2;0;298,21;2;1;1;0;0;0;1;;28;;28;7,1;3;2;2;0,389162459;2;2;4;8;3;0;0;0;1;0;0;568,6477051;295,6119995
12;82;1;4,6;4;2;1;2;2000;1;0;560;490;0;20;0;0;0;0;160;200;10;460;0;0;400;0;950;90;1730;55;2;0;298,21;2;1;1;0;0;0;1;;28;;28;7,1;3;2;2;0,974130555;2;2;4;8;3;0;0;0;1;0;0;568,6477051;295,6119995
12;82;1;4,6;4;2;2;1;2000;6;1;740;0;0;480;0;0;0;0;180;40;0;590;0;0;850;0;590;0;2290;56;1;0;298,21;2;1;1;0;0;0;1;;40;;40;4,4;2;1;1;0,416914683;1;2;1;8;3;1;0;0;0;0;0;568,6477051;277,136261
12;82;1;4,6;4;2;2;2;2000;1;0;540;560;0;70;0;0;0;0;130;140;0;460;110;0;270;0;1020;0;1600;56;1;0;298,21;2;1;1;0;0;0;1;;40;;40;4,4;2;1;1;1,043590692;1;2;1;8;3;1;0;0;0;0;0;568,6477051;277,136261
12;117;1;4,6;3;4;1;1;2000;4;0;540;420;0;130;0;30;0;140;100;80;0;360;160;470;20;90;780;0;1520;36;1;0;298,21;1;1;1;0;0;1;1;;65;;65;3,1;1,2;1;1;1,467219931;1;1;1;8;2;0;0;1;0;0;0;492,9589539;486,8360291
12;117;1;4,6;3;4;1;2;2000;7;1;670;0;0;210;0;300;0;0;240;20;0;480;380;260;0;320;480;0;1440;36;1;0;298,21;1;1;1;0;0;1;1;;65;;65;3,1;1,2;1;1;0,62099453;1;1;1;8;2;0;0;1;0;0;0;492,9589539;486,8360291
12;151;2;4,6;6;3;1;1;2000;3;0;500;550;0;110;0;0;0;0;150;130;0;400;60;0;400;30;950;0;1440;49;1;0;298,21;4;0;0;0;0;0;1;;70;;70;2;1,1;1;1;0,90483182;1;2;2;8;4;0;0;1;0;0;1;956,0529175;508,0831299
12;151;2;4,6;6;3;1;2;2000;6;1;510;0;0;490;0;40;0;0;320;80;0;380;170;0;830;60;380;0;1440;49;1;0;298,21;4;0;0;0;0;0;1;;70;;70;2;1,1;1;1;0,37194892;1;2;2;8;4;0;0;1;0;0;1;956,0529175;508,0831299
12;151;2;4,6;6;3;2;1;2000;3;0;560;520;0;90;0;0;0;0;90;180;0;490;50;0;190;80;1010;110;1440;48;2;0;298,21;4;0;0;0;0;0;1;;45;;45;7,1;3;2;2;0,860006085;1;2;1;8;4;0;1;0;0;0;0;956,0529175;207,8521881
12;151;2;4,6;6;3;2;2;2000;6;1;630;0;0;340;0;80;0;0;350;40;0;510;0;0;780;130;510;30;1450;48;2;0;298,21;4;0;0;0;0;0;1;;45;;45;7,1;3;2;2;0,353245989;1;2;1;8;4;0;1;0;0;0;0;956,0529175;207,8521881
12;151;2;4,6;6;3;3;1;2000;3;0;400;490;0;20;0;210;90;0;170;60;0;370;290;0;50;240;860;0;1440;22;1;0;298,21;4;0;0;0;0;0;1;;25;;25;15;9;7;5;1,039386756;2;1;3;8;4;0;0;1;1;1;0;956,0529175;95
12;173;2;4,6;6;3;1;1;2000;7;5;780;0;0;450;0;60;0;0;120;30;0;580;80;0;780;0;580;0;1440;52;2;0;298,21;2;0;0;0;0;0;3;;;;;5;2;1;1;0,34233306;1;1;5;8;2;0;0;1;0;0;0;-24,63853073;0
12;173;2;4,6;6;3;2;1;2000;7;1;720;0;0;360;0;60;0;0;280;20;0;530;80;0;830;0;530;0;1440;54;1;0;298,21;2;0;0;0;0;0;1;;40;;40;5;2;1;1;0,369085357;1;1;1;8;2;0;0;1;0;0;0;-24,63853073;0
